City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bredasdorp,ZA,73.65,clear sky,-34.5322,20.0403,Victoria Hotel
4,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti International Resort
7,Saldanha,ZA,74.75,few clouds,-33.0117,17.9442,Hoedjesbaai
11,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Aurora Alice Springs
12,Chabahar,IR,81.46,clear sky,25.2919,60.643,هتل سپیده
15,Cape Town,ZA,81.12,few clouds,-33.9258,18.4232,Townhouse Hotel
18,Sao Felix Do Xingu,BR,70.21,overcast clouds,-6.6447,-51.995,Hotel Terraço
22,Maragogi,BR,75.27,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
24,Victoria,HK,84.25,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
26,La Fria,VE,72.52,overcast clouds,8.2203,-72.2439,Hotel Nuestra Señora de Coromoto
32,Wahiawa,US,73.76,overcast clouds,21.5028,-158.0236,The Inn At Schofield
43,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Pearl Resort
44,Miramar,US,75.99,clear sky,25.9873,-80.2323,El Palacio Sports Hotel
45,Sao Joao Da Barra,BR,73.22,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
46,Vanimo,PG,83.21,few clouds,-2.6741,141.3028,CBC Guesthouse
49,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Page 63 hostel
50,Rikitea,PF,74.91,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
57,Hilo,US,72.25,clear sky,19.7297,-155.09,Dolphin Bay Hotel
60,Hermanus,ZA,74.8,few clouds,-34.4187,19.2345,Aloe guest house
65,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
74,Kapaa,US,71.58,clear sky,22.0752,-159.319,Pono Kai Resort
79,Naze,JP,71.37,broken clouds,28.3667,129.4833,ビジネス旅館畠山
84,Mandera,KE,84.0,light rain,3.9366,41.867,Kornesh Hotel and Lodging
90,Quelimane,MZ,86.77,overcast clouds,-17.8786,36.8883,Mabassa
97,Sao Filipe,CV,75.54,clear sky,14.8961,-24.4956,Bela Vista
100,Soe,ID,75.0,light rain,-9.8607,124.284,DENA
106,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
113,Sinnamary,GF,77.94,overcast clouds,5.3833,-52.95,Hôtel du fleuve
115,Santa Rosa,PH,88.11,broken clouds,14.3122,121.1114,JARS RESORT
116,The Valley,AI,79.83,few clouds,18.217,-63.0578,CeBlue
117,Mount Isa,AU,76.77,light intensity shower rain,-20.7333,139.5,Ibis Styles
120,Sambava,MG,80.19,scattered clouds,-14.2667,50.1667,Royal Sava Hôtel
125,Hithadhoo,MV,80.83,broken clouds,-0.6,73.0833,Pebbles Inn
126,Beira,MZ,76.95,overcast clouds,-19.8436,34.8389,Hotel Savoy
131,Bubaque,GW,79.81,overcast clouds,11.2833,-15.8333,Chez Julio
134,Dwarka,IN,81.72,clear sky,22.2394,68.9678,The Dwarika Hotel
145,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Ocean Centre Hotel
150,Saint-Philippe,RE,81.1,overcast clouds,-21.3585,55.7679,Le Baril
154,Kampong Thum,KH,88.34,broken clouds,12.7111,104.8887,សណ្ឋាគារអរុណរះ
161,Miri,MY,87.94,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
163,Lazaro Cardenas,MX,73.92,overcast clouds,17.9583,-102.2,Hotel Sol del Pacífico
165,Port Elizabeth,ZA,76.1,few clouds,-33.918,25.5701,Waterford Hotel
167,Gunnedah,AU,82.99,light rain,-30.9833,150.25,The Court House
172,Vengurla,IN,86.25,scattered clouds,15.8667,73.6333,Kondura Beach Woods Resort
176,Wagga Wagga,AU,70.84,scattered clouds,-35.1167,147.3667,The Astor
178,Honiara,SB,81.88,scattered clouds,-9.4333,159.95,King Solomon Hotel
179,San Matias,BO,73.47,clear sky,-16.3667,-58.4,Hotel San Jose
181,Pokhara,NP,71.64,clear sky,28.2333,83.9833,Hotel Annapurna View Sarangkot
192,Mackay,AU,79.54,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
193,Bosaso,SO,82.44,scattered clouds,11.2842,49.1816,Bosaso hotel
197,Kota,IN,79.2,clear sky,25.1833,75.8333,Hotel Navrang
203,Antalaha,MG,81.77,broken clouds,-14.9003,50.2788,Hôtel Florida
205,San Luis,AR,77.25,overcast clouds,-33.295,-66.3356,Hotel Dos Venados
