City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-11-24 19:51:22,22.0752,-159.319,70.2,87,100,29.93
1,Rikitea,PF,2022-11-24 19:51:22,-23.1203,-134.9692,74.55,82,100,10.38
2,Cayenne,GF,2022-11-24 19:51:23,4.9333,-52.3333,77.04,88,0,0.0
3,Albany,US,2022-11-24 19:51:23,42.6001,-73.9662,49.73,54,100,1.01
4,Vaini,TO,2022-11-24 19:51:24,-21.2,-175.2,78.96,83,75,5.75
5,Puerto Ayora,EC,2022-11-24 19:51:24,-0.7393,-90.3518,76.96,89,68,5.01
6,Bloemhof,ZA,2022-11-24 19:51:25,-27.6469,25.607,77.68,18,12,12.35
7,Saint George,US,2022-11-24 19:51:25,37.1041,-113.5841,57.43,28,0,5.75
8,Ribeira Grande,PT,2022-11-24 19:48:01,38.5167,-28.7,63.0,59,40,14.0
9,Lillooet,CA,2022-11-24 19:51:26,50.6856,-121.942,48.65,78,45,3.31
10,Alta Floresta,BR,2022-11-24 19:51:26,-9.8756,-56.0861,84.02,70,75,8.05
11,Mataura,NZ,2022-11-24 19:51:27,-46.1927,168.8643,46.29,98,99,6.24
12,Tasiilaq,GL,2022-11-24 19:51:27,65.6145,-37.6368,31.01,64,100,8.48
13,Half Moon Bay,US,2022-11-24 19:51:27,37.4636,-122.4286,70.88,45,0,10.36
14,Bandarbeyla,SO,2022-11-24 19:51:28,9.4942,50.8122,78.03,77,14,13.31
15,Itoman,JP,2022-11-24 19:51:28,26.1247,127.6694,73.42,73,100,11.5
16,Orlik,RU,2022-11-24 19:51:29,52.5178,99.825,-18.51,89,81,3.44
17,Busselton,AU,2022-11-24 19:51:29,-33.65,115.3333,56.52,87,42,1.3
18,Grindavik,IS,2022-11-24 19:51:29,63.8424,-22.4338,46.87,66,0,18.41
19,Desaguadero,PE,2022-11-24 19:51:30,-16.5656,-69.0417,58.64,33,93,15.79
