City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,60.66,55,75,18.41,broken clouds
1,Watsa,CD,3.0372,29.5355,66.88,94,99,2.04,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,73.65,52,0,14.72,clear sky
3,Kushiro,JP,42.975,144.3747,40.64,70,97,6.29,overcast clouds
4,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,broken clouds
5,Togul,RU,53.465,85.9128,-5.75,79,13,0.58,few clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,68.56,90,89,4.97,overcast clouds
7,Saldanha,ZA,-33.0117,17.9442,74.75,45,13,0.78,few clouds
8,Micheweni,TZ,-4.9667,39.8333,82.13,71,13,0.69,light rain
9,Mataura,NZ,-46.1927,168.8643,59.49,79,100,3.36,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,56.86,47,0,6.91,clear sky
11,Alice Springs,AU,-23.7,133.8833,81.95,28,40,12.66,scattered clouds
12,Chabahar,IR,25.2919,60.643,81.46,42,6,5.03,clear sky
13,Chuy,UY,-33.6971,-53.4616,64.65,98,40,6.64,scattered clouds
14,Ahome,MX,25.9167,-109.1833,60.82,63,0,5.53,clear sky
15,Cape Town,ZA,-33.9258,18.4232,81.12,54,22,4.32,few clouds
16,Kiruna,SE,67.8557,20.2251,27.52,86,100,21.85,overcast clouds
17,Ndago,TZ,-4.6,34.35,76.41,46,48,4.25,scattered clouds
18,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.21,99,99,0.83,overcast clouds
19,Severo-Yeniseyskiy,RU,60.3725,93.0408,-9.76,94,100,4.63,overcast clouds
20,East London,ZA,-33.0153,27.9116,68.63,75,92,14.76,light rain
21,Ixtapa,MX,20.7,-105.2,69.22,85,6,3.11,clear sky
22,Maragogi,BR,-9.0122,-35.2225,75.27,87,97,6.13,overcast clouds
23,Castro,BR,-24.7911,-50.0119,58.73,97,100,8.52,overcast clouds
24,Victoria,HK,22.2855,114.1577,84.25,87,9,8.68,clear sky
25,Butaritari,KI,3.0707,172.7902,81.52,73,37,7.99,scattered clouds
26,La Fria,VE,8.2203,-72.2439,72.52,98,100,2.21,overcast clouds
27,Bethel,US,41.3712,-73.414,52.66,79,75,6.91,broken clouds
28,Saint George,US,37.1041,-113.5841,38.79,52,0,4.61,clear sky
29,Severo-Kurilsk,RU,50.6789,156.125,30.67,80,86,38.18,light snow
30,La Ronge,CA,55.1001,-105.2842,20.1,91,100,11.56,light snow
31,Qaanaaq,GL,77.484,-69.3632,-7.51,75,93,6.02,overcast clouds
32,Wahiawa,US,21.5028,-158.0236,73.76,66,100,0.0,overcast clouds
33,Innisfail,AU,-17.5333,146.0333,79.23,83,94,3.06,light rain
34,Ponta Do Sol,PT,32.6667,-17.1,69.01,78,60,7.85,broken clouds
